Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_HandSoldering",72.644000,-124.968000,270.000000,top
"C3","100n","C_1206_HandSoldering",98.425000,-120.713500,270.000000,top
"C4","100n","C_1206_HandSoldering",106.553000,-120.459500,270.000000,top
"C6","100n","C_1206_HandSoldering",103.632000,-124.968000,0.000000,top
"C8","100n","C_1206_HandSoldering",118.618000,-151.384000,90.000000,top
"C9","100n","C_1206_HandSoldering",99.060000,-130.048000,270.000000,top
"C10","100n","C_1206_HandSoldering",102.362000,-150.368000,270.000000,top
"C11","100n","C_1206_HandSoldering",87.820500,-133.096000,90.000000,top
"C12","10u","C_1206_HandSoldering",114.046000,-132.842000,180.000000,top
"C13","100n","C_1206_HandSoldering",112.268000,-141.986000,270.000000,top
"C15","10u","C_1206_HandSoldering",107.442000,-149.860000,180.000000,top
"C16","100n","C_1206_HandSoldering",107.696000,-140.462000,0.000000,top
"C17","100n","C_1206_HandSoldering",107.696000,-138.176000,0.000000,top
"C18","3n3","C_1206_HandSoldering",120.904000,-135.636000,0.000000,top
"C19","56n","C_1206_HandSoldering",120.904000,-138.176000,180.000000,top
"C20","100p","C_1206_HandSoldering",103.632000,-110.363000,0.000000,top
"C21","100p","C_1206_HandSoldering",105.156000,-105.283000,270.000000,top
"C22","100p","C_1206_HandSoldering",103.632000,-69.723000,0.000000,top
"C23","100p","C_1206_HandSoldering",106.426000,-64.643000,270.000000,top
"C24","330p","C_1206_HandSoldering",103.632000,-115.951000,180.000000,top
"C25","330p","C_1206_HandSoldering",108.204000,-105.283000,90.000000,top
"C26","330p","C_1206_HandSoldering",103.632000,-75.819000,180.000000,top
"C27","330p","C_1206_HandSoldering",109.220000,-64.643000,90.000000,top
"C28","5.6n","C_1206_HandSoldering",117.348000,-113.284000,90.000000,top
"C29","5.6n","C_1206_HandSoldering",116.840000,-102.743000,0.000000,top
"C30","5.6n","C_1206_HandSoldering",117.348000,-75.311000,90.000000,top
"C31","5.6n","C_1206_HandSoldering",116.840000,-62.103000,0.000000,top
"C40","100n","C_1206_HandSoldering",114.554000,-113.157000,270.000000,top
"C41","100n","C_1206_HandSoldering",114.554000,-72.517000,270.000000,top
"C46","10n","C_1206_HandSoldering",130.556000,-97.155000,90.000000,top
"C47","100n","C_1206_HandSoldering",126.492000,-90.551000,180.000000,top
"C48","100n","C_1206_HandSoldering",110.871000,-87.122000,270.000000,top
"C50","100n","C_1206_HandSoldering",117.475000,-98.552000,0.000000,top
"C51","100n","C_1206_HandSoldering",117.475000,-92.964000,0.000000,top
"C52","100n","C_1206_HandSoldering",104.521000,-99.060000,0.000000,top
"C53","100n","C_1206_HandSoldering",104.521000,-93.472000,0.000000,top
"C54","10u","C_1206_HandSoldering",89.662000,-127.254000,180.000000,top
"C55","100n","C_1206_HandSoldering",89.662000,-124.269500,0.000000,top
"C_res2","x","C_1206_HandSoldering",83.629500,-151.828500,90.000000,top
"Cboot1","220n","C_1206_HandSoldering",96.964500,-146.113500,90.000000,top
"Cin1","2u2","C_1206_HandSoldering",89.408000,-140.462000,270.000000,top
"Cout1","47u","C_1206_HandSoldering",86.804500,-151.828500,90.000000,top
"D1","B150","SMA",95.250000,-105.156000,90.000000,top
"D2","B150","SMA",68.834000,-124.968000,90.000000,top
"D3","B150","SMA",75.057000,-145.161000,270.000000,top
"D4","P6SMB 27V","SMB",80.137000,-145.161000,270.000000,top
"D5","B150","SMA",87.439500,-146.113500,180.000000,top
"D6","1N4148","SOD-123W",105.537000,-87.122000,90.000000,top
"D7","1N4148","SOD-123W",116.205000,-95.758000,180.000000,top
"D8","1N4148","SOD-123W",110.617000,-99.060000,180.000000,top
"D9","1N4148","SOD-123W",110.617000,-96.266000,0.000000,top
"D10","1N4148","SOD-123W",110.617000,-93.472000,180.000000,top
"D11","LED","R_1206_HandSoldering",123.698000,-153.797000,0.000000,top
"FB1","330","C_0805_HandSoldering",77.597000,-139.446000,0.000000,top
"FB2","330","C_0805_HandSoldering",85.344000,-132.080000,90.000000,top
"LM1","LM284x","SOT23-6_1.7x3.0mm_Pitch0.95mm",93.154500,-142.303500,180.000000,top
"Q1","BSS123","SOT-23_Handsoldering",98.552000,-98.044000,90.000000,top
"Q2","BSS123","SOT-23_Handsoldering",94.996000,-91.440000,90.000000,top
"Q3","BSS123","SOT-23_Handsoldering",94.996000,-78.994000,90.000000,top
"Q4","BSS123","SOT-23_Handsoldering",94.996000,-72.136000,90.000000,top
"Q5","FZT751TA","SOT-223",114.744500,-121.475500,270.000000,top
"Q6","BSH103,215","SOT-23_Handsoldering",124.841000,-120.777000,0.000000,top
"Q7","BSH103,215","SOT-23_Handsoldering",124.968000,-103.505000,0.000000,top
"Q8","BSH103,215","SOT-23_Handsoldering",124.968000,-81.661000,0.000000,top
"Q9","BSH103,215","SOT-23_Handsoldering",124.968000,-63.373000,0.000000,top
"Q10","BSH103,215","SOT-23_Handsoldering",130.556000,-120.777000,0.000000,top
"Q11","BSH103,215","SOT-23_Handsoldering",130.556000,-103.505000,0.000000,top
"Q12","BSH103,215","SOT-23_Handsoldering",130.556000,-81.661000,0.000000,top
"Q13","BSH103,215","SOT-23_Handsoldering",130.556000,-63.373000,0.000000,top
"Q14","MMBF5434","SOT-23_Handsoldering",130.556000,-117.221000,180.000000,top
"Q15","MMBF5434","SOT-23_Handsoldering",130.556000,-107.188000,180.000000,top
"Q16","MMBF5434","SOT-23_Handsoldering",130.556000,-77.978000,180.000000,top
"Q17","MMBF5434","SOT-23_Handsoldering",130.556000,-67.056000,180.000000,top
"Q18","BSS123","SOT-23_Handsoldering",131.826000,-86.360000,90.000000,top
"R1","10K","R_1206_HandSoldering",75.438000,-124.968000,90.000000,top
"R2","10K","R_1206_HandSoldering",94.488000,-97.790000,90.000000,top
"R3","10K","R_1206_HandSoldering",93.726000,-85.344000,90.000000,top
"R4","10K","R_1206_HandSoldering",96.266000,-85.344000,90.000000,top
"R5","10K","R_1206_HandSoldering",98.044000,-64.516000,270.000000,top
"R6","1K","R_1206_HandSoldering",109.601000,-120.713500,90.000000,top
"R7","10K","R_1206_HandSoldering",80.518000,-131.064000,180.000000,top
"R8","18K","R_1206_HandSoldering",114.046000,-135.382000,0.000000,top
"R9","10k","R_1206_HandSoldering",95.504000,-125.222000,90.000000,top
"R10","10k","R_1206_HandSoldering",96.520000,-132.334000,90.000000,top
"R11","475","R_1206_HandSoldering",115.062000,-141.986000,90.000000,top
"R12","2k","R_1206_HandSoldering",98.869500,-113.538000,90.000000,top
"R13","2k","R_1206_HandSoldering",98.806000,-105.283000,270.000000,top
"R14","2k","R_1206_HandSoldering",98.806000,-73.787000,90.000000,top
"R15","2k","R_1206_HandSoldering",100.838000,-64.643000,270.000000,top
"R16","16k","R_1206_HandSoldering",103.632000,-113.411000,180.000000,top
"R17","16k","R_1206_HandSoldering",102.108000,-105.283000,270.000000,top
"R18","16k","R_1206_HandSoldering",103.632000,-72.771000,180.000000,top
"R19","16k","R_1206_HandSoldering",103.632000,-64.643000,270.000000,top
"R20","330","R_1206_HandSoldering",120.142000,-120.142000,270.000000,top
"R21","330","R_1206_HandSoldering",112.014000,-105.283000,270.000000,top
"R22","330","R_1206_HandSoldering",112.522000,-77.343000,180.000000,top
"R23","330","R_1206_HandSoldering",112.014000,-64.643000,270.000000,top
"R24","49k9","R_1206_HandSoldering",126.111000,-115.570000,90.000000,top
"R25","49k9","R_1206_HandSoldering",126.111000,-108.712000,270.000000,top
"R26","49k9","R_1206_HandSoldering",126.238000,-76.073000,90.000000,top
"R27","49k9","R_1206_HandSoldering",126.238000,-68.961000,270.000000,top
"R28","49k9","R_1206_HandSoldering",131.826000,-144.272000,90.000000,top
"R29","49k9","R_1206_HandSoldering",131.826000,-129.032000,90.000000,top
"R30","7k","R_1206_HandSoldering",120.904000,-146.558000,0.000000,top
"R31","8k","R_1206_HandSoldering",120.904000,-143.764000,0.000000,top
"R32","18k","R_1206_HandSoldering",120.904000,-140.970000,0.000000,top
"R33","7k","R_1206_HandSoldering",120.904000,-133.096000,0.000000,top
"R34","8k","R_1206_HandSoldering",120.904000,-130.302000,0.000000,top
"R35","18k","R_1206_HandSoldering",120.904000,-127.508000,0.000000,top
"R36","1k","R_1206_HandSoldering",124.841000,-99.822000,0.000000,top
"R37","390k","R_1206_HandSoldering",108.077000,-87.122000,90.000000,top
"R38","10k","R_1206_HandSoldering",102.489000,-87.884000,270.000000,top
"R39","10k","R_1206_HandSoldering",102.489000,-80.772000,270.000000,top
"R40","1M","R_1206_HandSoldering",118.618000,-80.391000,0.000000,top
"R41","1k","R_1206_HandSoldering",120.840500,-85.788500,270.000000,top
"R42","1k","R_1206_HandSoldering",122.682000,-95.123000,270.000000,top
"R43","470k","R_1206_HandSoldering",104.521000,-96.266000,0.000000,top
"R44","24","R_1206_HandSoldering",86.868000,-113.538000,270.000000,top
"R45","24","R_1206_HandSoldering",89.662000,-113.538000,270.000000,top
"R46","24","R_1206_HandSoldering",93.218000,-113.538000,270.000000,top
"R47","24","R_1206_HandSoldering",96.012000,-113.538000,270.000000,top
"R48","330","R_1206_HandSoldering",123.698000,-150.876000,0.000000,top
"Rfb1","3.32k","R_1206_HandSoldering",98.806000,-137.922000,180.000000,top
"Rfb2","1.02k","R_1206_HandSoldering",98.806000,-140.716000,0.000000,top
"U1","ADAU1701","LQFP-48_7x7mm_Pitch0.5mm",105.410000,-131.318000,180.000000,top
"U2","24AA256SN","SOIC-8_3.9x4.9mm_Pitch1.27mm",92.265500,-132.651500,90.000000,top
"U3","LME49721","SOIC-8_3.9x4.9mm_Pitch1.27mm",110.490000,-112.649000,90.000000,top
"U4","LME49721","SOIC-8_3.9x4.9mm_Pitch1.27mm",110.490000,-72.009000,90.000000,top
"U6","LM393","SOIC-8_3.9x4.9mm_Pitch1.27mm",116.713000,-85.852000,270.000000,top
"U7","IDT2305NZ","SOIC-8_3.9x4.9mm_Pitch1.27mm",90.106500,-119.888000,0.000000,top
"X1","ASV-24.576MHz-EJ-T","Oscillator_SMD_Abracon_ASV-4pin_7.0x5.1mm_HandSoldering",81.534000,-125.476000,90.000000,top
